ticker,issuer,issuer_cik,confidence,buyer_count,total_value,titles,first_date,last_date,max_pct_of_holdings,has_officer,has_10b5_1,same_day_cluster,price_vs_market,new_position,offering_nearby,offering_forms,filing_urls
GRNT,"Granite Ridge Resources, Inc.",0001928446,high,2,55500.0,Chief Financial Officer; Director,2026-09-01,2026-09-04,0.0444,True,False,False,varied:5.04-5.05,False,False,,https://www.sec.gov/Archives/edgar/data/1928446/0001628280-26-060001.txt | https://www.sec.gov/Archives/edgar/data/1928446/0001628280-26-060851.txt
CBU,"COMMUNITY FINANCIAL SYSTEM, INC.",0000723188,high,2,50276.9,Director,2026-08-24,2026-08-27,0.9243,False,False,False,varied:63.11-63.5946,False,False,,https://www.sec.gov/Archives/edgar/data/723188/0000723188-26-000106.txt | https://www.sec.gov/Archives/edgar/data/723188/0000723188-26-000108.txt
OVLY,Oak Valley Bancorp,0001431567,high,2,48631.17,Director,2026-08-26,2026-08-28,0.091,False,True,False,varied:33.85-34.23,False,False,,https://www.sec.gov/Archives/edgar/data/1538662/0001437749-26-029357.txt | https://www.sec.gov/Archives/edgar/data/1719092/0001437749-26-029649.txt
NRDE,Stark Novus Financial Inc.,0001759546,high,2,47490.54,Director,2026-08-21,2026-08-28,0.0314,False,False,False,varied:1.55-1.83,False,False,,https://www.sec.gov/Archives/edgar/data/1336198/0001013594-26-000955.txt | https://www.sec.gov/Archives/edgar/data/1759546/0001493152-26-040164.txt | https://www.sec.gov/Archives/edgar/data/1759546/0001493152-26-040671.txt
CSBB,"CSB Bancorp, Inc.",0000880417,high,2,47071.66,Director; President & CEO,2026-09-02,2026-09-03,0.3252,True,False,False,varied:73.51-76.99,False,False,,https://www.sec.gov/Archives/edgar/data/880417/0001193125-26-383385.txt | https://www.sec.gov/Archives/edgar/data/880417/0001193125-26-383388.txt
SWZ,Total Return Securities Fund,0000813623,high,2,36120.7,Director; Secretary,2026-08-21,2026-08-31,0.8358,True,False,False,varied:5.9296-5.98,False,False,,https://www.sec.gov/Archives/edgar/data/1053116/0001398344-26-016344.txt | https://www.sec.gov/Archives/edgar/data/1340982/0001398344-26-015537.txt
SDHC,Smith Douglas Homes Corp.,0001982518,high,2,36036.6,See Remarks,2026-08-25,2026-09-02,0.0046,True,False,False,varied:11.5-12.34,False,False,,https://www.sec.gov/Archives/edgar/data/1451292/0001628280-26-059079.txt | https://www.sec.gov/Archives/edgar/data/1992482/0001628280-26-060445.txt
emyb,"Embassy Bancorp, Inc.",0001449794,high,2,34463.91,"Chairman, President and CEO; Director",2026-08-26,2026-08-28,0.034,True,False,False,varied:22.205-22.3,False,False,,https://www.sec.gov/Archives/edgar/data/1449794/0001464631-26-000008.txt | https://www.sec.gov/Archives/edgar/data/1449794/0001464633-26-000004.txt
LFT,"Lument Finance Trust, Inc.",0001547546,high,2,34265.0,CEO; Chief Financial Officer,2026-08-21,2026-08-24,0.2441,True,False,False,varied:0.6821-0.6899,False,False,,https://www.sec.gov/Archives/edgar/data/1727995/0001727995-26-000006.txt | https://www.sec.gov/Archives/edgar/data/1752395/0001752395-26-000002.txt
RCG,"RENN Fund, Inc.",0000919567,high,2,31086.64,Vice-President,2026-08-24,2026-09-04,0.0218,True,False,False,varied:2.9-2.95,False,False,,https://www.sec.gov/Archives/edgar/data/1056823/0001437749-26-028889.txt | https://www.sec.gov/Archives/edgar/data/1056823/0001437749-26-028959.txt | https://www.sec.gov/Archives/edgar/data/1056823/0001437749-26-029076.txt | https://www.sec.gov/Archives/edgar/data/1056823/0001437749-26-029139.txt | https://www.sec.gov/Archives/edgar/data/1056823/0001437749-26-029279.txt | https://www.sec.gov/Archives/edgar/data/1056823/0001437749-26-029374.txt | https://www.sec.gov/Archives/edgar/data/1056823/0001437749-26-029505.txt | https://www.sec.gov/Archives/edgar/data/1056823/0001437749-26-029569.txt | https://www.sec.gov/Archives/edgar/data/1056823/0001437749-26-029683.txt | https://www.sec.gov/Archives/edgar/data/1056823/0001437749-26-029770.txt | https://www.sec.gov/Archives/edgar/data/1525039/0001437749-26-028968.txt | https://www.sec.gov/Archives/edgar/data/1525039/0001437749-26-029091.txt | https://www.sec.gov/Archives/edgar/data/1525039/0001437749-26-029140.txt
